protocol_id,title,domain,role,target_population,implementation_guidance,expected_outcomes,evidence_base,doi_primary,quality_score,publication_year,study_design,sample_size
PROT036,"Evidence-Based Population Health Protocol for Substance Use Treatment Engagement by Behavioral Health Care Managers",Substance Use,Behavioral Health Care Manager,"Adults with substance use disorders in healthcare and community settings","Implement evidence-based substance use treatment engagement program. Components include: 1) Substance use assessment and screening, 2) Motivational interviewing and behavior change counseling, 3) Treatment planning and goal setting, 4) Referral to appropriate treatment services, 5) Care coordination and case management, 6) Relapse prevention and recovery support.","Increased treatment engagement and retention rates, reduced substance use frequency and severity, improved mental health and social functioning, enhanced motivation for change and recovery, reduced criminal justice involvement, improved employment and housing stability.","Miller et al. (2019). Motivational interviewing in health care settings. Journal of Health Psychology, 24(11), 1456-1468.","10.1177/1359105317718058",8.1,2017,Review Article,N/A
PROT037,"Evidence-Based Population Health Protocol for Medication Safety in Elderly by Clinical Pharmacists",Medication Management,Clinical Pharmacist,"Elderly adults at risk for medication-related problems in primary care and long-term care settings","Implement comprehensive medication safety program for elderly patients. Protocol includes: 1) Medication review and assessment for appropriateness, 2) Potentially inappropriate medication identification and deprescribing, 3) Drug interaction and contraindication screening, 4) Adherence assessment and intervention, 5) Caregiver education and support, 6) Provider communication and recommendations.","Reduced medication-related adverse events, decreased potentially inappropriate medication use, improved medication adherence and safety, reduced healthcare utilization and costs, enhanced patient and caregiver knowledge, improved quality of life and functional status.","Patterson et al. (2014). Interventions to improve the appropriate use of polypharmacy for older people. Cochrane Database of Systematic Reviews, 2014(10), CD008165.","10.1002/14651858.CD008165.pub3",8.3,2014,Cochrane Review,12
PROT038,"Evidence-Based Population Health Protocol for Breastfeeding Support by Doulas",Maternal Health,Doula,"New mothers in Medicaid populations with breastfeeding challenges","Implement comprehensive breastfeeding support program. Components include: 1) Prenatal breastfeeding education and preparation, 2) Immediate postpartum breastfeeding assistance, 3) Lactation support and troubleshooting, 4) Pumping and milk storage education, 5) Return-to-work breastfeeding planning, 6) Ongoing support and encouragement.","Increased breastfeeding initiation and duration rates, improved breastfeeding success and satisfaction, reduced breastfeeding-related problems and complications, enhanced maternal confidence in breastfeeding, improved infant health outcomes, reduced healthcare costs.","Renfrew et al. (2012). Support for healthy breastfeeding mothers with healthy term babies. Cochrane Database of Systematic Reviews, 2012(5), CD001141.","10.1002/14651858.CD001141.pub4",8.0,2012,Cochrane Review,52
PROT039,"Evidence-Based Population Health Protocol for Food Security Intervention by Social Workers",Social Determinants,Social Worker,"Individuals and families experiencing food insecurity in low-income communities","Implement comprehensive food security intervention program. Protocol includes: 1) Food security assessment and screening, 2) Food assistance program enrollment and navigation, 3) Nutrition education and meal planning, 4) Community resource identification and connection, 5) Advocacy and policy engagement, 6) Follow-up and outcome monitoring.","Improved food security status and access to nutritious foods, increased utilization of food assistance programs, enhanced nutrition knowledge and healthy eating behaviors, improved health outcomes and chronic disease management, reduced healthcare utilization and costs.","Seligman et al. (2015). Food insecurity and glycemic control among low-income patients with type 2 diabetes. Diabetes Care, 38(6), 1045-1052.","10.2337/dc14-2260",7.8,2015,Cross-sectional Study,711
PROT040,"Evidence-Based Population Health Protocol for Chronic Disease Prevention by Community Health Workers",Chronic Disease Management,Community Health Worker,"Adults at risk for chronic diseases in underserved communities","Implement comprehensive chronic disease prevention program. Components include: 1) Health risk assessment and screening, 2) Lifestyle modification education and support, 3) Preventive care coordination and navigation, 4) Community resource connection, 5) Health behavior change support, 6) Follow-up and monitoring protocols.","Reduced risk factors for chronic diseases, improved preventive care utilization, enhanced health behaviors and lifestyle modifications, increased health knowledge and self-efficacy, reduced healthcare costs and utilization, improved quality of life measures.","Islam et al. (2015). Clinical and economic impact of community health workers in chronic disease management. PLoS One, 10(2), e0118778.","10.1371/journal.pone.0118778",8.0,2015,Systematic Review,N/A
PROT041,"Evidence-Based Population Health Protocol for Pediatric Immunization by Nurse Care Managers",Pediatrics,Nurse Care Manager,"Children in underserved communities with incomplete immunization schedules","Implement comprehensive pediatric immunization program. Protocol includes: 1) Immunization status assessment and tracking, 2) Vaccine education and counseling for parents, 3) Appointment scheduling and reminder systems, 4) School and daycare coordination, 5) Catch-up immunization planning, 6) Adverse event monitoring and management.","Improved immunization rates and schedule completion, reduced vaccine-preventable diseases, enhanced parent knowledge and acceptance of vaccines, improved school readiness and attendance, reduced healthcare utilization for preventable illnesses.","Community Preventive Services Task Force. (2015). Vaccination programs: client reminder and recall systems. American Journal of Preventive Medicine, 49(6), 896-900.","10.1016/j.amepre.2015.08.009",8.1,2015,Systematic Review,N/A
PROT042,"Evidence-Based Population Health Protocol for Skilled Nursing Facility Transitions by Care Coordinators",Transitions Support,Care Coordinator,"Elderly patients transitioning from skilled nursing facilities to home or community settings","Implement comprehensive skilled nursing facility transition program. Protocol includes: 1) Pre-discharge assessment and planning, 2) Home safety evaluation and modifications, 3) Care service coordination and setup, 4) Medication management and reconciliation, 5) Family and caregiver education, 6) Post-discharge monitoring and support.","Reduced readmission rates to hospitals and nursing facilities, improved successful community transitions, enhanced patient and family satisfaction, improved functional status and independence, reduced healthcare costs, improved quality of life measures.","Naylor et al. (2004). Transitional care of older adults hospitalized with heart failure. Journal of the American Geriatrics Society, 52(5), 675-684.","10.1111/j.1532-5415.2004.52202.x",8.2,2004,Randomized Controlled Trial,239
PROT043,"Evidence-Based Population Health Protocol for Smoking Cessation by Clinical Pharmacists",Substance Use,Clinical Pharmacist,"Adults who smoke tobacco in primary care and community pharmacy settings","Implement comprehensive smoking cessation program. Protocol includes: 1) Smoking assessment and readiness evaluation, 2) Nicotine replacement therapy and medication management, 3) Behavioral counseling and support, 4) Relapse prevention planning, 5) Follow-up and monitoring protocols, 6) Referral to additional cessation resources.","Increased smoking cessation rates (25-40% quit rates), reduced tobacco use and nicotine dependence, improved respiratory and cardiovascular health, enhanced quality of life measures, reduced healthcare utilization and costs, improved medication adherence for cessation aids.","Sinclair et al. (2004). Community pharmacy personnel interventions for smoking cessation. Cochrane Database of Systematic Reviews, 2004(1), CD003698.","10.1002/14651858.CD003698.pub2",8.0,2004,Cochrane Review,6
PROT044,"Evidence-Based Population Health Protocol for Perinatal Mental Health by Behavioral Health Care Managers",Mental Health,Behavioral Health Care Manager,"Pregnant and postpartum women with mental health conditions","Implement comprehensive perinatal mental health program. Components include: 1) Mental health screening during pregnancy and postpartum, 2) Risk assessment and safety planning, 3) Evidence-based therapy and counseling, 4) Medication management coordination, 5) Care coordination with obstetric providers, 6) Family support and education.","Improved maternal mental health outcomes, reduced perinatal depression and anxiety, enhanced maternal-infant bonding, improved birth outcomes, increased treatment engagement and adherence, reduced stigma and barriers to mental health care.","O'Mahen et al. (2014). Netmums: a phase II randomized controlled trial of a guided Internet behavioural activation treatment for postpartum depression. Psychological Medicine, 44(8), 1675-1689.","10.1017/S0033291713002092",7.9,2014,Randomized Controlled Trial,249
PROT045,"Evidence-Based Population Health Protocol for Transportation Assistance by Social Workers",Social Determinants,Social Worker,"Individuals with transportation barriers to healthcare access","Implement comprehensive transportation assistance program. Protocol includes: 1) Transportation needs assessment, 2) Transportation resource identification and coordination, 3) Medical transportation scheduling and arrangement, 4) Public transportation training and support, 5) Volunteer driver program coordination, 6) Emergency transportation planning.","Improved healthcare access and appointment attendance, reduced missed appointments and care delays, enhanced continuity of care, improved health outcomes and chronic disease management, increased patient satisfaction with healthcare access, reduced healthcare costs.","Syed et al. (2013). Traveling towards disease: transportation barriers to health care access. Journal of Community Health, 38(5), 976-993.","10.1007/s10900-013-9681-1",7.7,2013,Review Article,N/A
PROT046,"Evidence-Based Population Health Protocol for Geriatric Care Management by Nurse Care Managers",Chronic Disease Management,Nurse Care Manager,"Elderly adults with multiple chronic conditions and functional limitations","Implement comprehensive geriatric care management program. Protocol includes: 1) Comprehensive geriatric assessment, 2) Care plan development and coordination, 3) Medication management and safety, 4) Fall prevention and safety planning, 5) Caregiver support and education, 6) Healthcare navigation and advocacy.","Improved functional status and independence, reduced hospitalizations and emergency department visits, enhanced quality of life measures, improved medication safety and adherence, reduced caregiver burden and stress, decreased healthcare costs.","Boult et al. (2009). Early effects of "Guided Care" on the quality of health care for multimorbid older persons. The Gerontologist, 49(6), 727-735.","10.1093/geront/gnp052",8.1,2009,Randomized Controlled Trial,904
PROT047,"Evidence-Based Population Health Protocol for Adolescent Health Promotion by Community Health Workers",Pediatrics,Community Health Worker,"Adolescents in underserved communities with health risk behaviors","Implement comprehensive adolescent health promotion program. Components include: 1) Health risk assessment and screening, 2) Health education on risky behaviors, 3) Reproductive health education and services, 4) Mental health screening and support, 5) Substance use prevention education, 6) Healthcare navigation and advocacy.","Reduced health risk behaviors, improved reproductive health knowledge and behaviors, enhanced mental health and well-being, increased healthcare utilization and preventive care, improved academic performance and social functioning, reduced teen pregnancy and STI rates.","Advocates for Youth. (2009). Community-based programs to prevent teen pregnancy. Washington, DC: Advocates for Youth.","N/A",7.8,2009,Program Review,N/A
PROT048,"Evidence-Based Population Health Protocol for Emergency Department Care Coordination by Care Coordinators",Transitions Support,Care Coordinator,"Frequent emergency department users with complex medical and social needs","Implement comprehensive emergency department care coordination program. Protocol includes: 1) High-utilizer identification and outreach, 2) Comprehensive needs assessment, 3) Primary care connection and coordination, 4) Social services referral and navigation, 5) Care plan development and implementation, 6) Follow-up and case management.","Reduced emergency department utilization and costs, improved primary care engagement, enhanced care coordination and continuity, improved health outcomes and chronic disease management, increased patient satisfaction with care, reduced healthcare costs.","Kumar et al. (2013). Effectiveness of case management strategies in reducing emergency department visits in frequent user patient populations. Journal of Emergency Medicine, 44(3), 717-729.","10.1016/j.jemermed.2012.08.035",8.0,2013,Systematic Review,8
PROT049,"Evidence-Based Population Health Protocol for Workplace Wellness by Clinical Pharmacists",Chronic Disease Management,Clinical Pharmacist,"Working adults in employer-sponsored wellness programs","Implement comprehensive workplace wellness program. Protocol includes: 1) Health risk assessment and biometric screening, 2) Chronic disease management and medication optimization, 3) Preventive care coordination and reminders, 4) Health education and lifestyle counseling, 5) Workplace accommodation support, 6) Outcome monitoring and reporting.","Improved employee health outcomes and chronic disease control, reduced healthcare costs and utilization, enhanced medication adherence and safety, increased preventive care utilization, improved workplace productivity and absenteeism, enhanced employee satisfaction with wellness programs.","Mattke et al. (2013). Workplace wellness programs study. RAND Corporation.","N/A",7.9,2013,Research Report,N/A
PROT050,"Evidence-Based Population Health Protocol for Rural Health Access by Community Health Workers",Social Determinants,Community Health Worker,"Rural populations with limited healthcare access and transportation barriers","Implement comprehensive rural health access program. Components include: 1) Community health needs assessment, 2) Mobile health services coordination, 3) Telehealth facilitation and support, 4) Transportation assistance and coordination, 5) Health education and promotion, 6) Provider recruitment and retention support.","Improved healthcare access and utilization in rural areas, reduced travel burden and transportation barriers, enhanced preventive care and chronic disease management, improved health outcomes and quality of life, increased provider availability and retention, reduced healthcare disparities.","Rosenthal et al. (2010). The role of community health workers in diabetes management and self-care education for vulnerable populations. Diabetes Educator, 36(1), 127-144.","10.1177/0145721709355487",7.8,2010,Review Article,N/A
